5.000000000000000000e+03 -1.677258641376723768e+06 1.026787499426307040e+06 -6.825972839275348000e+06 6.580483811179541590e+03 -2.906699062506578230e+03 -2.055738955924691709e+03
5.000024999999999636e+03 -1.677094129281444242e+06 1.026714831949744374e+06 -6.826024232749246061e+06 6.580530604394257352e+03 -2.906727708468949913e+03 -2.055548520648440899e+03
5.000049999999999272e+03 -1.676929616016334388e+06 1.026642163757032598e+06 -6.826075621462262236e+06 6.580577172179499939e+03 -2.906756217206154815e+03 -2.055358485756878508e+03
5.000074999999998909e+03 -1.676765101587029872e+06 1.026569494851602474e+06 -6.826127005424406379e+06 6.580623735391685841e+03 -2.906784723922509329e+03 -2.055168449455137306e+03
5.000099999999998545e+03 -1.676600585993645014e+06 1.026496825233504409e+06 -6.826178384635643102e+06 6.580670294030784135e+03 -2.906813228617994355e+03 -2.054978411743347351e+03
5.000124999999998181e+03 -1.676436069236294134e+06 1.026424154902788927e+06 -6.826229759095937014e+06 6.580716848096764807e+03 -2.906841731292590794e+03 -2.054788372621637791e+03
5.000149999999997817e+03 -1.676271551315091783e+06 1.026351483859506669e+06 -6.826281128805252723e+06 6.580763397589596934e+03 -2.906870231946280001e+03 -2.054598332090138683e+03
5.000174999999997453e+03 -1.676107032230152050e+06 1.026278812103708042e+06 -6.826332493763554841e+06 6.580809942509249595e+03 -2.906898730579042876e+03 -2.054408290148979631e+03
5.000199999999997090e+03 -1.675942511981589254e+06 1.026206139635443571e+06 -6.826383853970808908e+06 6.580856482855691866e+03 -2.906927227190860322e+03 -2.054218246798290238e+03
5.000224999999996726e+03 -1.675777990569517948e+06 1.026133466454763780e+06 -6.826435209426978603e+06 6.580903018628893733e+03 -2.906955721781713692e+03 -2.054028202038200106e+03
5.000249999999996362e+03 -1.675613467994052218e+06 1.026060792561719194e+06 -6.826486560132029466e+06 6.580949549828825184e+03 -2.906984214351583887e+03 -2.053838155868838840e+03
5.000274999999995998e+03 -1.675448944255306385e+06 1.025988117956360453e+06 -6.826537906085926108e+06 6.580996076455454386e+03 -2.907012704900452263e+03 -2.053648108290336040e+03
5.000299999999995634e+03 -1.675284419353395002e+06 1.025915442638737964e+06 -6.826589247288633138e+06 6.581042598508751325e+03 -2.907041193428299721e+03 -2.053458059302821766e+03
5.000324999999995271e+03 -1.675119893288432388e+06 1.025842766608902253e+06 -6.826640583740116097e+06 6.581089115988685080e+03 -2.907069679935107615e+03 -2.053268008906425621e+03
5.000349999999994907e+03 -1.674955366060532629e+06 1.025770089866903843e+06 -6.826691915440338664e+06 6.581135628895225636e+03 -2.907098164420856847e+03 -2.053077957101276752e+03
5.000374999999994543e+03 -1.674790837669810280e+06 1.025697412412793376e+06 -6.826743242389266379e+06 6.581182137228342071e+03 -2.907126646885528316e+03 -2.052887903887505217e+03
5.000399999999994179e+03 -1.674626308116379660e+06 1.025624734246621258e+06 -6.826794564586863853e+06 6.581228640988003463e+03 -2.907155127329103379e+03 -2.052697849265241075e+03
5.000424999999993815e+03 -1.674461777400354855e+06 1.025552055368438014e+06 -6.826845882033095695e+06 6.581275140174179796e+03 -2.907183605751562936e+03 -2.052507793234613473e+03
5.000449999999993452e+03 -1.674297245521850418e+06 1.025479375778294168e+06 -6.826897194727926515e+06 6.581321634786840150e+03 -2.907212082152888343e+03 -2.052317735795752469e+03
5.000474999999993088e+03 -1.674132712480980670e+06 1.025406695476240362e+06 -6.826948502671321854e+06 6.581368124825954510e+03 -2.907240556533060499e+03 -2.052127676948787212e+03
5.000499999999992724e+03 -1.673968178277859930e+06 1.025334014462327003e+06 -6.826999805863245390e+06 6.581414610291491044e+03 -2.907269028892060760e+03 -2.051937616693847758e+03
5.000524999999992360e+03 -1.673803642912602751e+06 1.025261332736604731e+06 -6.827051104303662665e+06 6.581461091183420649e+03 -2.907297499229870027e+03 -2.051747555031063712e+03
5.000549999999991996e+03 -1.673639106385323219e+06 1.025188650299123954e+06 -6.827102397992538288e+06 6.581507567501711492e+03 -2.907325967546469656e+03 -2.051557491960564676e+03
5.000574999999991633e+03 -1.673474568696135655e+06 1.025115967149935314e+06 -6.827153686929836869e+06 6.581554039246333559e+03 -2.907354433841840546e+03 -2.051367427482480707e+03
5.000599999999991269e+03 -1.673310029845154611e+06 1.025043283289089217e+06 -6.827204971115523949e+06 6.581600506417256838e+03 -2.907382898115963599e+03 -2.051177361596940955e+03
5.000624999999990905e+03 -1.673145489832494175e+06 1.024970598716636305e+06 -6.827256250549564138e+06 6.581646969014449496e+03 -2.907411360368820169e+03 -2.050987294304075476e+03
5.000649999999990541e+03 -1.672980948658268899e+06 1.024897913432627101e+06 -6.827307525231922045e+06 6.581693427037881520e+03 -2.907439820600391158e+03 -2.050797225604013875e+03
5.000674999999990177e+03 -1.672816406322592869e+06 1.024825227437112131e+06 -6.827358795162562281e+06 6.581739880487522896e+03 -2.907468278810657921e+03 -2.050607155496885753e+03
5.000699999999989814e+03 -1.672651862825580640e+06 1.024752540730141918e+06 -6.827410060341449454e+06 6.581786329363342702e+03 -2.907496734999601358e+03 -2.050417083982821168e+03
5.000724999999989450e+03 -1.672487318167346530e+06 1.024679853311766870e+06 -6.827461320768549107e+06 6.581832773665310015e+03 -2.907525189167202825e+03 -2.050227011061949270e+03
5.000749999999989086e+03 -1.672322772348004859e+06 1.024607165182037745e+06 -6.827512576443825848e+06 6.581879213393394821e+03 -2.907553641313443222e+03 -2.050036936734400115e+03
